route,pir,total_rec_packtess,tota_rec_flits,rec_ideal_flits_ratio,avg_wireless_util,global_avg_delay_cycles,max_delay_cycles,network_throuput,avg_ip_throuput,total_energy,dynamic_energy,static_energy
XY,0.013,1834,14669,0.979501,0,14.0016,97,1.62989,0.101868,2.1599e-06,1.84651e-07,1.97525e-06
XY,0.013,1834,14669,0.979501,0,14.0016,97,1.62989,0.101868,2.1599e-06,1.84651e-07,1.97525e-06
XY,0.013,1834,14669,0.979501,0,14.0016,97,1.62989,0.101868,2.1599e-06,1.84651e-07,1.97525e-06
XY,0.013,1834,14669,0.979501,0,14.0016,97,1.62989,0.101868,2.1599e-06,1.84651e-07,1.97525e-06
XY,0.014,2026,16206,1.00484,0,14.3258,114,1.80067,0.112542,2.17949e-06,2.04234e-07,1.97525e-06
XY,0.014,2026,16206,1.00484,0,14.3258,114,1.80067,0.112542,2.17949e-06,2.04234e-07,1.97525e-06
XY,0.014,2026,16206,1.00484,0,14.3258,114,1.80067,0.112542,2.17949e-06,2.04234e-07,1.97525e-06
XY,0.014,2026,16206,1.00484,0,14.3258,114,1.80067,0.112542,2.17949e-06,2.04234e-07,1.97525e-06
XY,0.014,2034,16265,1.00849,0,14.7665,90,1.80722,0.112951,2.18159e-06,2.06339e-07,1.97525e-06
XY,0.015,2172,17380,1.00579,0,15.5134,120,1.93111,0.120694,2.19773e-06,2.22481e-07,1.97525e-06
XY,0.015,2172,17380,1.00579,0,15.5134,120,1.93111,0.120694,2.19773e-06,2.22481e-07,1.97525e-06
XY,0.015,2172,17380,1.00579,0,15.5134,120,1.93111,0.120694,2.19773e-06,2.22481e-07,1.97525e-06
XY,0.015,2144,17146,0.992245,0,15.0387,98,1.90511,0.119069,2.19134e-06,2.16087e-07,1.97525e-06
XY,0.015,2144,17146,0.992245,0,15.0387,98,1.90511,0.119069,2.19134e-06,2.16087e-07,1.97525e-06
XY,0.016,2274,18185,0.986599,0,16.9367,128,2.02056,0.126285,2.20516e-06,2.29907e-07,1.97525e-06
XY,0.016,2274,18185,0.986599,0,16.9367,128,2.02056,0.126285,2.20516e-06,2.29907e-07,1.97525e-06
XY,0.016,2369,18934,1.02724,0,17.867,157,2.10378,0.131486,2.20909e-06,2.33844e-07,1.97525e-06
XY,0.016,2369,18934,1.02724,0,17.867,157,2.10378,0.131486,2.20909e-06,2.33844e-07,1.97525e-06
XY,0.016,2369,18934,1.02724,0,17.867,157,2.10378,0.131486,2.20909e-06,2.33844e-07,1.97525e-06
XY,0.017,2450,19619,1.00179,0,17.5376,111,2.17989,0.136243,2.22512e-06,2.49869e-07,1.97525e-06
XY,0.017,2450,19619,1.00179,0,17.5376,111,2.17989,0.136243,2.22512e-06,2.49869e-07,1.97525e-06
XY,0.017,2450,19619,1.00179,0,17.5376,111,2.17989,0.136243,2.22512e-06,2.49869e-07,1.97525e-06
XY,0.017,2450,19619,1.00179,0,17.5376,111,2.17989,0.136243,2.22512e-06,2.49869e-07,1.97525e-06
XY,0.017,2430,19456,0.993464,0,17.5942,102,2.16178,0.135111,2.21902e-06,2.43765e-07,1.97525e-06
XY,0.018,2638,21103,1.0177,0,20.6262,132,2.34478,0.146549,2.24223e-06,2.66976e-07,1.97525e-06
XY,0.018,2638,21103,1.0177,0,20.6262,132,2.34478,0.146549,2.24223e-06,2.66976e-07,1.97525e-06
XY,0.018,2582,20651,0.995901,0,19.8811,197,2.29456,0.14341,2.23656e-06,2.61311e-07,1.97525e-06
XY,0.018,2582,20651,0.995901,0,19.8811,197,2.29456,0.14341,2.23656e-06,2.61311e-07,1.97525e-06
XY,0.018,2582,20651,0.995901,0,19.8811,197,2.29456,0.14341,2.23656e-06,2.61311e-07,1.97525e-06
XY,0.019,2720,21771,0.994655,0,20.1191,122,2.419,0.151188,2.24955e-06,2.74295e-07,1.97525e-06
XY,0.019,2671,21364,0.97606,0,20.3879,146,2.37378,0.148361,2.24604e-06,2.70792e-07,1.97525e-06
XY,0.019,2671,21364,0.97606,0,20.3879,146,2.37378,0.148361,2.24604e-06,2.70792e-07,1.97525e-06
XY,0.019,2671,21364,0.97606,0,20.3879,146,2.37378,0.148361,2.24604e-06,2.70792e-07,1.97525e-06
XY,0.019,2694,21550,0.984558,0,19.5119,180,2.39444,0.149653,2.24902e-06,2.73771e-07,1.97525e-06
XY,0.02,2756,22063,0.957595,0,21.1009,144,2.45144,0.153215,2.25553e-06,2.80276e-07,1.97525e-06
XY,0.02,2756,22063,0.957595,0,21.1009,144,2.45144,0.153215,2.25553e-06,2.80276e-07,1.97525e-06
XY,0.02,2914,23326,1.01241,0,23.1826,189,2.59178,0.161986,2.26858e-06,2.93333e-07,1.97525e-06
XY,0.02,2914,23326,1.01241,0,23.1826,189,2.59178,0.161986,2.26858e-06,2.93333e-07,1.97525e-06
XY,0.02,2914,23326,1.01241,0,23.1826,189,2.59178,0.161986,2.26858e-06,2.93333e-07,1.97525e-06
XY,0.021,3068,24545,1.01459,0,24.5231,175,2.72722,0.170451,2.28443e-06,3.09183e-07,1.97525e-06
XY,0.021,3068,24545,1.01459,0,24.5231,175,2.72722,0.170451,2.28443e-06,3.09183e-07,1.97525e-06
XY,0.021,3068,24545,1.01459,0,24.5231,175,2.72722,0.170451,2.28443e-06,3.09183e-07,1.97525e-06
XY,0.021,2987,23899,0.987889,0,25.0603,157,2.65544,0.165965,2.28135e-06,3.06098e-07,1.97525e-06
XY,0.021,2987,23899,0.987889,0,25.0603,157,2.65544,0.165965,2.28135e-06,3.06098e-07,1.97525e-06
XY,0.022,3239,25933,1.02324,0,26.4832,216,2.88144,0.18009,2.30257e-06,3.27322e-07,1.97525e-06
XY,0.022,3095,24773,0.97747,0,25.4284,223,2.75256,0.172035,2.29082e-06,3.15569e-07,1.97525e-06
XY,0.022,3095,24773,0.97747,0,25.4284,223,2.75256,0.172035,2.29082e-06,3.15569e-07,1.97525e-06
XY,0.022,3113,24882,0.981771,0,26.9419,247,2.76467,0.172792,2.28753e-06,3.12275e-07,1.97525e-06
XY,0.022,3113,24882,0.981771,0,26.9419,247,2.76467,0.172792,2.28753e-06,3.12275e-07,1.97525e-06
